N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,619266,0,6,0,2,0,2
16,584172,0,2,2,2,0,2
32,578280,0,2,0,2,0,2
64,580951,0,2,0,2,0,2
128,581254,0,2,0,2,0,2
256,581294,0,2,0,2,0,2
512,581624,0,2,0,2,0,2
1024,599460,1,2,0,2,0,2
1184,581814,0,2,0,2,0,2
1344,581196,0,2,0,2,0,2
1504,581347,0,2,0,2,0,2
1664,581280,0,2,0,2,0,2
1824,581274,0,2,0,2,0,2
1984,581261,0,2,0,2,0,2
2144,590534,0,2,1,2,1,2
3104,581827,0,2,0,2,0,2
4224,581856,0,2,0,2,0,2
5664,581984,0,2,0,2,0,2
7104,582451,0,2,0,2,0,2
9664,583131,0,2,1,2,1,2
16064,583962,0,2,0,2,0,2
22464,585060,0,2,0,2,0,2
28864,586132,0,2,0,2,0,2
30464,602738,1,2,0,2,0,2
32064,586887,0,2,0,2,0,2
33664,604500,0,2,0,2,0,2
44864,611441,1,2,0,2,0,2
59264,602685,1,2,0,2,0,2
70464,592831,0,2,0,2,0,2
112064,599328,0,2,0,2,0,2
144064,609556,0,6,0,2,0,2
176064,610426,0,2,0,2,0,2
208064,617255,0,2,0,2,0,2
240064,620824,0,2,0,2,0,2
256064,623362,0,2,0,2,0,2
272064,625996,0,2,0,2,0,2
288064,639406,1,6,0,2,0,2
384064,644297,0,2,0,2,0,2
448064,654963,0,2,0,2,0,2
512064,666424,0,2,0,2,0,2
704064,698085,0,2,0,2,0,2
1120064,861759,0,41,0,2,0,2
1600064,1000109,0,41,0,2,0,2
2080064,1269200,2,41,0,2,0,2
2720064,1690367,1,41,0,2,0,2
3520064,2383495,0,41,0,2,0,2
3840064,2734461,1,41,1,2,1,2
4000064,2880563,0,41,1,2,1,2
4160064,3071961,1,41,1,2,1,2
4320064,3226864,0,41,1,2,1,2
4480064,3353673,1,41,0,2,0,2
4640064,3488904,1,41,0,2,0,2
5280064,4231113,0,41,1,2,1,2
7040064,6179215,1,41,1,2,1,2
8000064,7174824,1,41,1,2,3,2
11200064,10755464,1,393,3,2,3,2
16000064,15353640,2,393,3,2,3,2
22400064,21550614,3,392,5,2,5,2
28800064,25464565,4,393,5,2,4,2
30400064,29179611,4,393,6,2,4,2
32000064,30692766,4,392,4,2,4,2
40000064,91816075,12,9768,12,9768,13,9768
51200064,117506902,15,12503,15,12503,15,12503
60800064,139374775,18,14846,19,14846,20,14846
73600064,168198043,21,17971,22,17971,23,17971
80000064,182867231,23,19534,24,19534,26,19534
128000064,291886303,38,31253,38,31253,37,31253
