N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,975,0,4,1,2,1,2
16,964,1,2,0,2,0,2
32,1018,0,2,0,2,0,2
64,970,0,2,0,2,1,2
128,881,0,2,0,2,0,2
256,891,0,2,0,2,0,2
512,798,0,2,0,2,0,2
1024,1066,0,2,0,2,0,2
1184,1025,0,2,0,2,0,2
1344,1018,0,2,0,2,0,2
1504,1007,0,2,0,2,0,2
1664,970,0,2,0,2,1,2
1824,1015,1,2,0,2,0,2
1984,985,0,2,0,2,1,2
2144,1019,0,2,0,2,0,2
3104,963,0,2,0,2,1,2
4224,975,0,2,0,2,0,2
5664,978,0,2,0,2,0,2
7104,963,0,2,0,2,0,2
9664,994,0,2,0,2,0,2
16064,1017,0,2,0,2,0,2
22464,981,0,2,0,2,0,2
30464,976,0,2,0,2,0,2
32064,976,0,2,1,2,0,2
33664,988,0,2,0,2,0,2
44864,1010,1,2,0,2,0,2
59264,1004,0,2,0,2,0,2
70464,948,0,2,0,2,0,2
112064,953,0,2,0,2,0,2
144064,1613,0,3,0,2,0,2
176064,1004,0,2,0,2,0,2
208064,1025,0,2,0,2,0,2
240064,978,0,2,1,2,0,2
256064,992,0,2,0,2,0,2
272064,998,0,2,0,2,0,2
288064,1718,0,3,1,2,0,2
384064,987,0,2,0,2,0,2
448064,1001,0,2,0,2,0,2
512064,987,0,2,0,2,0,2
704064,1009,0,2,0,2,0,2
1120064,1537,0,3,0,2,0,2
1600064,1756,0,3,0,2,1,2
2080064,1536,0,3,0,2,0,2
2720064,1563,0,3,0,2,0,2
3520064,1772,0,3,1,2,0,2
3840064,1960,0,3,0,2,0,2
4000064,1718,0,3,0,2,1,2
4160064,1622,0,3,0,2,0,2
4320064,1683,0,3,0,2,1,2
4480064,1624,0,3,0,2,0,2
4640064,1691,0,3,0,2,0,2
5280064,1638,0,3,0,2,0,2
7040064,1656,0,3,0,2,1,2
8000064,1654,0,3,1,2,0,2
11200064,1951,0,3,0,2,1,2
16000064,1677,0,3,0,2,0,2
22400064,1051,1,3,0,2,0,2
28800064,1658,0,3,0,2,0,2
30400064,1713,0,3,0,2,0,2
32000064,1900,0,3,0,2,1,2
40000064,0,0,4,0,4,0,4
51200064,0,0,4,1,4,0,4
60800064,0,0,4,0,4,0,4
73600064,0,0,4,0,4,0,4
80000064,0,0,4,0,4,0,4
128000064,0,0,4,0,4,0,4
