N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1397017,1,10,0,6,0,6
16,1392631,0,6,0,6,0,6
32,1401596,1,6,0,7,0,6
64,1398981,0,6,0,6,0,6
128,1436929,1,6,0,6,0,6
256,1408738,0,6,1,6,0,6
512,1427410,0,6,0,6,0,6
1024,1410851,0,6,1,6,1,6
1184,1406710,0,6,0,6,0,6
1344,1410399,0,6,0,6,0,6
1504,1412462,0,6,0,6,0,6
1664,1416471,0,6,0,6,0,6
1824,1416144,0,6,0,6,0,6
1984,1452141,1,6,0,6,1,6
2144,1430587,0,6,1,6,1,6
3104,1440027,0,6,0,6,0,6
4224,1480252,0,6,1,6,1,6
5664,1464481,0,6,0,6,0,6
7104,1485832,0,6,0,6,0,6
9664,1503113,0,6,1,6,0,6
16064,1509354,0,6,0,6,0,6
22464,1543867,1,6,0,6,1,6
30464,1529266,0,6,0,6,0,6
32064,1534090,1,6,0,6,0,6
33664,1533876,0,6,0,6,0,6
36864,1583109,1,6,0,6,0,6
38464,1557558,0,6,1,6,1,6
40064,1586430,0,6,1,6,1,6
41664,1548652,0,6,1,6,1,6
44864,1552199,0,6,0,6,0,6
59264,1573273,0,6,0,6,0,6
70464,1589045,0,6,0,6,0,6
112064,1614253,0,6,0,6,0,6
144064,1640271,1,10,0,6,0,6
176064,1664830,1,6,0,6,0,6
208064,1645885,0,6,0,6,0,6
240064,1657708,0,6,0,6,0,6
256064,1661406,0,6,0,6,0,6
272064,1710101,1,73,0,6,0,6
288064,1692838,1,6,0,6,0,6
384064,1706643,0,6,0,6,0,6
448064,1721851,0,6,0,6,0,6
512064,1783254,0,6,1,6,1,6
704064,1943788,1,10,1,6,1,6
1120064,2206729,0,45,1,6,1,6
1600064,2423628,2,45,1,6,1,6
2080064,2732883,0,45,0,6,0,6
2720064,3304969,1,45,1,6,1,6
3520064,4094494,1,46,0,6,0,6
3840064,4453770,2,45,1,6,1,6
4000064,4626890,0,45,1,6,1,6
4160064,4821171,0,45,1,6,1,6
4320064,4945555,2,45,1,6,1,6
4480064,5097888,1,45,1,6,1,6
4640064,5234799,1,45,0,6,0,6
5280064,6022661,1,45,1,6,1,6
7040064,7862694,2,45,1,6,2,6
8000064,8921407,2,45,1,6,1,6
11200064,12435094,2,397,2,6,2,6
16000064,1844674406958591899,2,397,2,6,2,6
22400064,23251461,3,396,4,6,5,6
28800064,29166607,4,397,4,6,3,6
30400064,30669320,4,397,5,6,4,6
32000064,32207199,4,396,4,6,4,6
40000064,1844674407035111662,13,9772,13,9772,12,9772
51200064,119335028,15,12507,15,12507,15,12507
60800064,141472125,17,14850,18,14850,18,14850
73600064,171039555,22,17975,22,17975,21,17975
80000064,185276806,23,19538,26,19538,23,19538
128000064,1844674407236115333,37,31257,38,31257,37,31257
