N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,2548031,1,8,1,6,1,6
16,2522592,1,6,1,6,1,6
32,2527839,1,6,1,7,1,6
64,2454354,1,6,1,6,1,6
128,2494133,1,6,1,6,1,6
256,2581793,2,6,2,6,2,6
512,2519865,1,6,1,6,1,6
1024,2546838,2,6,1,6,1,6
1184,2527693,1,6,1,6,1,6
1344,2531010,1,6,3,6,2,6
1504,2602064,2,6,2,6,2,6
1664,2526871,1,6,1,6,1,6
1824,2508098,2,6,2,6,1,6
1984,2535332,1,6,1,6,2,6
2144,2373062,1,6,1,6,1,6
3104,2541866,1,6,1,6,1,6
4224,2546319,1,6,1,6,2,6
5664,2515585,1,6,1,6,1,6
7104,2544633,2,6,2,6,1,6
9664,2575154,2,6,2,6,2,6
16064,2521857,1,6,1,6,1,6
22464,2540439,2,6,2,6,1,6
30464,2554948,1,6,2,6,2,6
32064,2546059,1,6,2,6,2,6
33664,2578253,1,6,1,6,1,6
44864,2572658,2,6,2,6,2,6
59264,2574974,2,6,2,6,2,6
70464,2573646,1,6,1,6,1,6
112064,2527029,2,6,2,6,1,6
144064,2520386,1,10,1,6,1,6
176064,2520117,1,6,1,6,1,6
208064,2618397,2,6,2,6,2,6
240064,2608581,2,6,2,6,2,6
256064,2575350,1,6,1,6,1,6
272064,2495150,1,73,1,6,1,6
288064,2799116,2,6,3,3,1,6
384064,2636192,2,6,2,6,2,6
448064,2607630,1,6,1,6,1,6
512064,2678427,2,6,2,6,2,6
704064,2714094,2,10,2,6,2,6
1120064,2761824,2,45,1,6,1,6
1600064,2838096,1,45,1,6,1,6
2080064,2943301,1,45,1,6,1,6
2720064,3096922,1,45,1,6,2,6
3520064,3274884,1,46,1,6,2,6
3840064,3284221,2,45,2,6,1,6
4000064,3303512,1,45,2,6,2,6
4160064,3353371,1,45,1,6,1,6
4320064,3416279,2,45,2,6,1,6
4480064,3431566,2,45,2,6,2,6
4640064,3445297,2,45,2,6,2,6
5280064,3567552,2,45,2,6,2,6
7040064,3958893,2,45,2,6,1,6
8000064,4119581,1,45,1,6,2,6
11200064,4826867,1,397,2,6,2,6
16000064,5822610,2,397,1,6,2,6
22400064,7336956,2,396,2,6,2,6
28800064,9253199,2,397,2,6,2,6
30400064,9804653,3,397,2,6,2,6
32000064,10413840,5,396,3,6,2,6
40000064,22009531,4,574,4,574,3,574
43200064,25096383,4,844,4,844,4,844
44800064,24804033,3,213,4,213,4,213
46400064,26792005,3,604,4,604,4,604
48000064,27835230,4,483,4,483,4,483
51200064,33574544,4,243,5,243,4,243
60800064,38195267,5,542,5,542,5,542
73600064,47715908,6,601,7,601,6,601
80000064,51843811,7,631,9,631,6,631
128000064,87720640,9,597,10,597,10,597
