N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1088,0,6,0,2,0,2
16,1056,0,2,0,2,0,2
32,1041,0,2,0,2,0,2
64,1045,0,2,0,2,0,2
128,1023,0,2,0,2,0,2
256,996,0,2,0,2,0,2
512,1003,0,2,0,2,0,2
1024,1104,0,2,0,2,0,2
1184,1079,0,2,0,2,0,2
1344,1086,0,2,0,2,0,2
1504,1082,0,2,0,2,0,2
1664,1093,0,2,0,2,0,2
1824,1086,0,2,0,2,0,2
1984,1080,0,2,0,2,0,2
2144,1095,0,2,0,2,0,2
3104,1077,0,2,0,2,0,2
4224,1111,0,2,0,2,0,2
5664,1076,0,2,0,2,0,2
7104,1131,0,2,0,2,0,2
9664,1174,0,2,0,2,0,2
16064,1191,0,2,0,2,0,2
22464,1167,0,2,0,2,0,2
30464,1179,0,2,0,2,0,2
32064,1138,0,2,0,2,0,2
33664,1122,0,2,0,2,0,2
44864,1166,0,2,0,2,0,2
59264,1133,0,2,0,2,0,2
70464,1113,0,2,0,2,0,2
112064,1119,0,2,0,2,0,2
144064,2258,0,3,0,2,0,2
176064,1143,0,2,0,2,0,2
208064,1192,0,2,0,2,0,2
240064,1138,0,2,0,2,0,2
256064,1220,0,2,0,2,0,2
272064,1123,0,2,0,2,0,2
288064,2140,0,3,0,2,0,2
384064,1152,0,2,0,2,0,2
448064,1197,0,2,0,2,0,2
512064,1148,0,2,0,2,0,2
704064,1161,0,2,0,2,0,2
1120064,2169,0,3,0,2,0,2
1600064,2382,0,3,0,2,0,2
2080064,2491,0,3,0,2,0,2
2720064,2242,0,3,0,2,0,2
3520064,2188,0,3,0,2,0,2
3840064,2141,0,3,0,2,0,2
4000064,2154,0,3,0,2,0,2
4160064,2780,0,3,0,2,0,2
4320064,2085,0,3,0,2,0,2
4480064,2176,0,3,0,2,0,2
4640064,2070,0,3,0,2,0,2
5280064,2132,0,3,0,2,0,2
7200064,2095,0,3,0,2,0,2
8000064,2107,0,3,0,2,0,2
11200064,2493,0,3,0,2,0,2
16000064,2443,0,3,0,2,0,2
22400064,2495,0,3,0,2,0,2
28800064,2155,0,3,0,2,0,2
30400064,2450,0,3,0,2,0,2
32000064,2471,0,3,0,2,0,2
40000064,32292,0,3,0,3,0,3
51200064,31479,0,3,0,3,0,3
60800064,32334,0,3,0,3,0,3
73600064,32801,0,3,0,3,0,3
80000064,33042,0,3,0,3,0,3
128000064,33696,0,3,0,3,0,3
