N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1028934,1,4,1,2,0,2
16,1027292,0,2,0,2,0,2
32,1032230,0,2,0,2,0,2
64,1022156,0,2,0,2,0,2
128,1022138,0,2,0,2,0,2
256,1041187,0,2,0,2,0,2
512,1027599,1,2,1,2,1,2
1024,1051099,0,2,0,2,0,2
1184,1017721,0,2,0,2,0,2
1344,1036920,0,2,0,2,0,2
1504,1029928,0,2,0,2,0,2
1664,1017489,0,2,0,2,0,2
1824,1016941,0,2,0,2,0,2
1984,1018412,0,2,0,2,0,2
2144,1018587,0,2,0,2,0,2
3104,1034151,1,2,0,2,0,2
4224,1021787,0,2,0,2,1,2
5664,1017253,0,2,0,2,0,2
7104,1006029,0,2,1,2,0,2
9664,997130,0,2,0,2,0,2
16064,989427,1,2,1,2,0,2
22464,997972,0,2,0,2,0,2
30464,1006581,0,2,0,2,0,2
32064,996979,0,2,0,2,0,2
33664,1013160,0,2,0,2,0,2
44864,1003484,0,2,0,2,0,2
59264,1014041,1,2,1,2,1,2
70464,1007678,1,2,1,2,0,2
112064,1017765,0,2,0,2,0,2
144064,1040940,0,6,1,2,1,2
176064,1033918,0,2,0,2,0,2
208064,1045080,0,2,0,2,1,2
240064,1047508,0,2,1,2,1,2
256064,1059599,1,2,0,2,0,2
272064,1050195,0,2,0,2,0,2
288064,1052770,1,6,0,2,0,2
384064,1074396,0,2,0,2,0,2
448064,1088081,1,2,1,2,1,2
512064,1099764,0,2,0,2,0,2
704064,1149934,0,2,0,2,1,2
1120064,1238121,0,41,0,2,0,2
1600064,1335403,1,41,1,2,0,2
2080064,1423968,0,41,0,2,0,2
2720064,1563381,0,41,0,2,1,2
3520064,1711890,1,41,1,2,0,2
3840064,1755669,1,41,1,2,1,2
4000064,1793700,0,41,0,2,0,2
4160064,1847079,0,41,0,2,0,2
4320064,1894753,0,41,0,2,0,2
4480064,1893789,0,41,0,2,0,2
4640064,1923756,0,41,0,2,0,2
5280064,2030400,0,41,0,2,0,2
7040064,2390080,1,41,1,2,0,2
8000064,2574418,0,41,0,2,0,2
11200064,3331855,1,393,1,2,0,2
16000064,4370622,1,393,0,2,1,2
22400064,5866392,1,392,1,2,0,2
28800064,7849144,1,393,1,2,1,2
30400064,8369473,1,393,0,2,1,2
32000064,8974220,1,392,1,2,1,2
40000064,21104529,2,570,4,570,2,570
51200064,30283292,3,750,3,750,3,750
60800064,36494919,4,538,4,538,4,538
73600064,45910812,5,597,13,597,5,597
80000064,65943425,5,627,5,627,5,627
128000064,86075985,9,593,9,593,9,593
